date,daily_case,daily_death,hospitalization
2020/4/8,4288,922,18152
2020/4/9,4056,990,18423
2020/4/10,3580,1035,18669
2020/4/11,3067,745,18604
2020/4/12,2942,604,18974
2020/4/13,3429,694,18621
2020/4/14,3551,1007,18552
2020/4/15,4222,730,17934
2020/4/16,4345,906,17783
2020/4/17,4073,826,16728
2020/4/18,4114,1004,16850
2020/4/19,3476,380,16928
2020/4/20,3677,536,16654
2020/4/21,3979,1116,16517
2020/4/22,4806,725,16018
2020/4/23,4557,594,15402
2020/4/24,4350,821,14642
2020/4/25,3375,729,14202
2020/4/26,3133,327,14174
2020/4/27,4031,289,14255
2020/4/28,4117,862,13565
2020/4/29,4731,604,13224
2020/4/30,4311,543,12922
2020/5/1,4093,623,12623
2020/5/2,2743,485,12314
2020/5/3,2634,222,12119
2020/5/4,2843,247,12020
2020/5/5,3139,639,11754
2020/5/6,3268,529,11227
2020/5/7,3204,377,10726
2020/5/8,2616,498,10249
2020/5/9,1796,226,10176
2020/5/10,2005,190,9893
2020/5/11,3062,174,10109
2020/5/12,2923,539,9791
2020/5/13,2882,362,9602
2020/5/14,2211,303,9231
2020/5/15,2131,280,9079
2020/5/16,1772,348,8643
2020/5/17,1588,43,8611
2020/5/18,2213,134,8668
2020/5/19,2591,447,8518
2020/5/20,2345,259,8115
2020/5/21,2276,220,7903
2020/5/22,1794,257,7761
2020/5/23,1302,197,7428
2020/5/24,1198,362,7415
2020/5/25,1381,86,7448
2020/5/26,1455,105,7305
2020/5/27,1613,396,6836
2020/5/28,1572,315,6528
2020/5/29,1371,246,6250
2020/5/30,999,117,5972
2020/5/31,985,39,5933
2020/6/1,1314,79,5954
2020/6/2,1353,228,5827
2020/6/3,1241,218,5600
2020/6/4,1145,112,5398
2020/6/5,1020,239,5213
2020/6/6,721,126,5004
2020/6/7,663,49,4820
2020/6/8,986,44,4830
2020/6/9,1057,179,4665
2020/6/10,1081,143,4447
2020/6/11,916,64,4179
2020/6/12,938,117,4136
2020/6/13,784,94,4000
2020/6/14,745,23,3973
2020/6/15,941,25,3920
2020/6/16,993,106,3934
2020/6/17,911,90,3826
2020/6/18,945,60,3681
2020/6/19,808,73,3575
2020/6/20,626,67,3423
2020/6/21,550,30,3373
2020/6/22,812,13,3417
2020/6/23,728,84,3288
2020/6/24,728,74,3223
2020/6/25,638,91,3066
2020/6/26,643,76,2859
2020/6/27,503,34,2819
2020/6/28,411,28,2818
2020/6/29,665,17,3024
2020/6/30,572,47,2665
2020/7/1,606,90,2509
2020/7/2,559,31,2410
2020/7/3,536,45,2294
2020/7/4,382,27,2152
2020/7/5,539,18,2100
2020/7/6,657,11,2099
2020/7/7,560,50,2010
2020/7/8,673,52,1888
2020/7/9,680,29,1801
2020/7/10,519,34,1746
2020/7/11,419,16,1640
2020/7/12,352,9,1611
2020/7/13,689,8,1612
